"Settlement","Company","brand_in_sett","id","Address","gasoline_avg","diesel_avg","n_days","brand_cat","total_sett","n_competitors_other_brand","on_highway","lat","lon","dist_border_km","near_border_10km","near_border_20km","n_sett_stations","hhi_brand","share_small","share_premium","share_discount","area_ha","population","pop_density","brand_cat_discount","brand_cat_premium","log_n_sett","log_n_competitors_other_brand"
"Abda","Mol",1,"Abda | Mol | Abda, Bécsi u. 1.","Abda, Bécsi u. 1.",583.666666666667,590.142857142857,7,"premium",2,1,0,47.6976818,17.5409829,14.3319514967097,0,1,2,0.5,0,1,0,1902,3155,165.878023133544,0,1,0.693147180559945,9.99995000039884e-06
"Abda","Orlen",1,"Abda | Orlen | Abda, Bécsi út 186.","Abda, Bécsi út 186.",581.333333333333,587.571428571429,7,"premium",2,1,0,47.6976818,17.5409829,14.3319514967097,0,1,2,0.5,0,1,0,1902,3155,165.878023133544,0,1,0.693147180559945,9.99995000039884e-06
"Abony","Mol",1,"Abony | Mol | Abony, Radák u.  ","Abony, Radák u.  ",583.428571428571,590.142857142857,7,"premium",2,1,0,47.1887402,20.0047823,105.114362123206,0,0,2,0.5,0.5,0.5,0,12797,14603,114.112682659998,0,1,0.693147180559945,9.99995000039884e-06
"Abony","Red-Rex Q Kft.",1,"Abony | Red-Rex Q Kft. | Abony, Kécskei út 2/A","Abony, Kécskei út 2/A",589,594,1,"small",2,1,0,47.1887402,20.0047823,105.114362123206,0,0,2,0.5,0.5,0.5,0,12797,14603,114.112682659998,0,0,0.693147180559945,9.99995000039884e-06
"Adony","Mol",1,"Adony | Mol | Adony, 6.sz. fkl. út  ","Adony, 6.sz. fkl. út  ",583.428571428571,590.142857142857,7,"premium",1,0,0,47.1208993,18.8631074,74.8170591134367,0,0,1,1,0,1,0,6105,4103,67.2072072072072,0,1,0,-11.5129254649702
"Aggtelek","Karszt Petrol Kft.",1,"Aggtelek | Karszt Petrol Kft. | Aggtelek, Kossuth L. u. hrsz 1/2","Aggtelek, Kossuth L. u. hrsz 1/2",579.357142857143,587.271428571429,7,"small",1,0,0,48.4675104,20.5054283,3.80176282794839,1,1,1,1,1,0,0,4382,443,10.109539023277,0,0,0,-11.5129254649702
"Ajka","Mobil Petrol",1,"Ajka | Mobil Petrol | Ajka, Fő út","Ajka, Fő út",577.9,585.614285714286,7,"discount",6,5,0,47.1056579,17.5587276,76.4925720458848,0,0,6,0.222222222222222,0.166666666666667,0.666666666666667,0.166666666666667,9504,26007,273.642676767677,1,0,1.79175946922805,1.6094399124321
"Ajka","Mol",2,"Ajka | Mol | Ajka, Bakonygyepes, 8.sz. fkl. út  ","Ajka, Bakonygyepes, 8.sz. fkl. út  ",583.666666666667,590.142857142857,7,"premium",6,4,0,47.1056579,17.5587276,76.4925720458848,0,0,6,0.222222222222222,0.166666666666667,0.666666666666667,0.166666666666667,9504,26007,273.642676767677,0,1,1.79175946922805,1.38629686111677
"Ajka","Mol",2,"Ajka | Mol | Ajka, Fő út /Aranyvölgyi utca/  ","Ajka, Fő út /Aranyvölgyi utca/  ",583.666666666667,591.142857142857,7,"premium",6,4,0,47.1056579,17.5587276,76.4925720458848,0,0,6,0.222222222222222,0.166666666666667,0.666666666666667,0.166666666666667,9504,26007,273.642676767677,0,1,1.79175946922805,1.38629686111677
"Ajka","Omv",1,"Ajka | Omv | Ajka, Petőfi u.","Ajka, Petőfi u.",582.9,591.042857142857,7,"premium",6,5,0,47.1056579,17.5587276,76.4925720458848,0,0,6,0.222222222222222,0.166666666666667,0.666666666666667,0.166666666666667,9504,26007,273.642676767677,0,1,1.79175946922805,1.6094399124321
"Ajka","Shell",1,"Ajka | Shell | Ajka, Fő út 66.","Ajka, Fő út 66.",584.233333333333,590.471428571429,7,"premium",6,5,0,47.1056579,17.5587276,76.4925720458848,0,0,6,0.222222222222222,0.166666666666667,0.666666666666667,0.166666666666667,9504,26007,273.642676767677,0,1,1.79175946922805,1.6094399124321
"Ajka","Volánbusz Zrt.",1,"Ajka | Volánbusz Zrt. | Ajka, Hársfa u. 7.","Ajka, Hársfa u. 7.",575,579.142857142857,7,"small",6,5,0,47.1056579,17.5587276,76.4925720458848,0,0,6,0.222222222222222,0.166666666666667,0.666666666666667,0.166666666666667,9504,26007,273.642676767677,0,0,1.79175946922805,1.6094399124321
"Akasztó","Akker-Plus Kft.",1,"Akasztó | Akker-Plus Kft. | Akasztó, Fő u. 189. 53-as út mellett","Akasztó, Fő u. 189. 53-as út mellett",624.428571428571,610.142857142857,7,"small",2,1,0,46.6909821,19.2063536,87.5318730140454,0,0,2,0.5,0.5,0,0.5,6488,3113,47.9808877928483,0,0,0.693147180559945,9.99995000039884e-06
"Akasztó","Mol Partner+",1,"Akasztó | Mol Partner+ | Akasztó, Fő u. 1.","Akasztó, Fő u. 1.",624.428571428571,610.142857142857,7,"discount",2,1,0,46.6909821,19.2063536,87.5318730140454,0,0,2,0.5,0.5,0,0.5,6488,3113,47.9808877928483,1,0,0.693147180559945,9.99995000039884e-06
"Albertirsa","Omv",1,"Albertirsa | Omv | Albertirsa, 4. sz főút 51-52. km","Albertirsa, 4. sz főút 51-52. km",586.328571428571,595.042857142857,7,"premium",1,0,0,47.2457295,19.6127835,89.8735696289964,0,0,1,1,0,1,0,7300,13950,191.095890410959,0,1,0,-11.5129254649702
"Algyő","Mol",1,"Algyő | Mol | Algyő, Szeged 47.sz.fkl.út ( Algyő Pf.:11 )  ","Algyő, Szeged 47.sz.fkl.út ( Algyő Pf.:11 )  ",583.428571428571,590.142857142857,7,"premium",1,0,0,46.3353787,20.2083596,23.1850900676024,0,0,1,1,0,1,0,7577,5364,70.7931899168536,0,1,0,-11.5129254649702
"Almásfüzitő","Oil!",1,"Almásfüzitő | Oil! | Almásfüzitő, 020/16. hrsz.","Almásfüzitő, 020/16. hrsz.",573.714285714286,589.571428571429,7,"discount",1,0,0,47.7272163,18.2619857,4.56123165043494,1,1,1,1,0,0,1,818,2016,246.454767726161,1,0,0,-11.5129254649702
"Alsónémedi","Omv",1,"Alsónémedi | Omv | Alsónémedi, Alsónémedi 5. sz. főút","Alsónémedi, Alsónémedi 5. sz. főút",582.9,591.042857142857,7,"premium",1,0,0,47.3146713,19.165704,62.1131553625276,0,0,1,1,0,1,0,4907,5584,113.796617077644,0,1,0,-11.5129254649702
"Alsópáhok","Mobil Petrol",1,"Alsópáhok | Mobil Petrol | Alsópáhok, Hévizi út 14.","Alsópáhok, Hévizi út 14.",577.614285714286,585.614285714286,7,"discount",1,0,0,46.7613162,17.1738982,50.2977915587606,0,0,1,1,0,0,1,1802,1462,81.1320754716981,1,0,0,-11.5129254649702
"Apagy","Orlen",1,"Apagy | Orlen | Apagy, 41-es főút/Béke út 55","Apagy, 41-es főút/Béke út 55",581.142857142857,587.571428571429,7,"premium",1,0,0,47.9593892,21.9348469,36.9850805261272,0,0,1,1,0,1,0,3199,2167,67.7399187246014,0,1,0,-11.5129254649702
"Aszód","Avia",1,"Aszód | Avia | Aszód, Falujárók útja 44.","Aszód, Falujárók útja 44.",595,601,1,"discount",3,2,0,47.6532732,19.4747432,49.1622619471193,0,0,3,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1620,6096,376.296296296296,1,0,1.09861228866811,0.693152180547445
"Aszód","Gá-Ben-Gáz Kft.",1,"Aszód | Gá-Ben-Gáz Kft. | Aszód, Pesti út 25.","Aszód, Pesti út 25.",574.428571428571,578.285714285714,7,"small",3,2,0,47.6532732,19.4747432,49.1622619471193,0,0,3,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1620,6096,376.296296296296,0,0,1.09861228866811,0.693152180547445
"Aszód","Mol",1,"Aszód | Mol | Aszód, Pesti út 3.  ","Aszód, Pesti út 3.  ",583.428571428571,590.142857142857,7,"premium",3,2,0,47.6532732,19.4747432,49.1622619471193,0,0,3,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1620,6096,376.296296296296,0,1,1.09861228866811,0.693152180547445
"Badacsonytomaj","Mol",1,"Badacsonytomaj | Mol | Badacsonytomaj, 71.sz. föút  ","Badacsonytomaj, 71.sz. föút  ",583.428571428571,590.142857142857,7,"premium",1,0,0,46.8057988,17.514693,71.4698733898702,0,0,1,1,0,1,0,3270,2101,64.2507645259939,0,1,0,-11.5129254649702
"Bag","Mobil Petrol",1,"Bag | Mobil Petrol | Bag, M3 autópálya 39. km lehajtó (Ipari Park) 2191","Bag, M3 autópálya 39. km lehajtó (Ipari Park) 2191",577.614285714286,585.614285714286,7,"discount",2,1,1,47.6337331,19.4792099,51.345344366128,0,0,2,0.5,0,0.5,0.5,2355,3712,157.622080679406,1,0,0.693147180559945,9.99995000039884e-06
"Bag","Omv",1,"Bag | Omv | Bag, Dózsa György út 2.","Bag, Dózsa György út 2.",582.9,591.042857142857,7,"premium",2,1,0,47.6337331,19.4792099,51.345344366128,0,0,2,0.5,0,0.5,0.5,2355,3712,157.622080679406,0,1,0.693147180559945,9.99995000039884e-06
"Baja","Mobil Petrol",1,"Baja | Mobil Petrol | Baja, külterület 0402/355 hrsz.","Baja, külterület 0402/355 hrsz.",551.614285714286,566.471428571429,7,"discount",6,5,0,46.1785471,18.9517255,27.6760520640556,0,0,6,0.222222222222222,0.166666666666667,0.666666666666667,0.166666666666667,17789,32401,182.140648715498,1,0,1.79175946922805,1.6094399124321
"Baja","Mol",1,"Baja | Mol | Baja, Dózsa Gy. u. 97.","Baja, Dózsa Gy. u. 97.",583.428571428571,590.142857142857,7,"premium",6,5,0,46.1785471,18.9517255,27.6760520640556,0,0,6,0.222222222222222,0.166666666666667,0.666666666666667,0.166666666666667,17789,32401,182.140648715498,0,1,1.79175946922805,1.6094399124321
"Baja","Orlen",1,"Baja | Orlen | Baja, Szegedi út  105.","Baja, Szegedi út  105.",584.142857142857,592.571428571429,7,"premium",6,5,0,46.1785471,18.9517255,27.6760520640556,0,0,6,0.222222222222222,0.166666666666667,0.666666666666667,0.166666666666667,17789,32401,182.140648715498,0,1,1.79175946922805,1.6094399124321
