Settlement,query,lat,lon
Abda,Abda Hungary,47.6976818,17.5409829
Abony,Abony Hungary,47.1887402,20.0047823
Adony,Adony Hungary,47.1208993,18.8631074
Aggtelek,Aggtelek Hungary,48.4675104,20.5054283
Ajka,Ajka Hungary,47.1056579,17.5587276
Akasztó,Akasztó Hungary,46.6909821,19.2063536
Albertirsa,Albertirsa Hungary,47.2457295,19.6127835
Algyő,Algyő Hungary,46.3353787,20.2083596
Almásfüzitő,Almásfüzitő Hungary,47.7272163,18.2619857
Alsónémedi,Alsónémedi Hungary,47.3146713,19.165704
Alsópáhok,Alsópáhok Hungary,46.7613162,17.1738982
Apagy,Apagy Hungary,47.9593892,21.9348469
Aszód,Aszód Hungary,47.6532732,19.4747432
Badacsonytomaj,Badacsonytomaj Hungary,46.8057988,17.514693
Bag,Bag Hungary,47.6337331,19.4792099
Baja,Baja Hungary,46.1785471,18.9517255
Bakonycsernye,Bakonycsernye Hungary,47.3194796,18.085004
Baktalórántháza,Baktalórántháza Hungary,47.9994207,22.0793592
Balassagyarmat,Balassagyarmat Hungary,48.0768832,19.2926037
Balatonalmádi,Balatonalmádi Hungary,47.030277,18.0155756
Balatonboglár,Balatonboglár Hungary,46.7785372,17.6553331
Balatonederics,Balatonederics Hungary,46.8091396,17.3813106
Balatonföldvár,Balatonföldvár Hungary,46.8491197,17.8792403
Balatonfüred,Balatonfüred Hungary,46.9567254,17.888892
Balatonfűzfő,Balatonfűzfő Hungary,47.0620043,18.0409677
Balatonkeresztúr,Balatonkeresztúr Hungary,46.6976597,17.3703877
Balatonlelle,Balatonlelle Hungary,46.7867617,17.6965209
Balatonszentgyörgy,Balatonszentgyörgy Hungary,46.6921957,17.2999871
Balatonvilágos,Balatonvilágos Hungary,46.964173099999996,18.159314
Balkány,Balkány Hungary,47.770088,21.8601316
Balástya,Balástya Hungary,46.42333,20.0092202
Barcs,Barcs Hungary,45.9605126,17.4634121
Becsehely,Becsehely Hungary,46.4476173,16.7916533
Bekecs,Bekecs Hungary,48.1515919,21.1711437
Beled,Beled Hungary,47.4661125,17.0898826
Berettyóújfalu,Berettyóújfalu Hungary,47.2247273,21.5355206
